Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
"The general attitude a person has toward his or her job is called:","Job satisfaction","Happiness","Job attitude","Content","Job satisfaction"
"The rate at which people voluntarily or involuntarily leave an organization is called:","Quitting","Downsizing","Attrition","Turnover","Turnover"
"Which of the following theories of motivation is NOT considered a need theory?","Hierarchy of needs","ERG Theory","Theory X","Theory of needs","Theory X"
"Maslow's hierarchy of needs includes all EXCEPT:","Physiological needs","Safety needs","Psychological needs","Esteem needs","Psychological needs"
"The lowest level of Maslow's hierarchy of needs is called:","Physiological needs","Safety needs","Psychological needs","Esteem needs","Physiological needs"
"The highest level of Maslow's hierarchy of needs is called:","Physiological needs","Safety needs","Psychological needs","Esteem needs","Self-actualization"
"Maslow's hierarchy of needs has the following order (from lowest to highest level needs):","Physiological, social, safety, esteem, self-actualization","Physiological, safety, social, esteem, self-actualization","Physiological, safety, social, self-actualization, esteem","Physiological, safety, esteem, social, self-actualization","Physiological, safety, social, esteem, self-actualization"
"The first core need according to ERG theory is:","Existence","Esteem","Eminence","Evaluation","Existence"
"According to ERG theory, existence focuses on:","Satisfying our basic material needs","Maintaining interpersonal relationships","Personal development","Physical and mental wellbeing","Satisfying our basic material needs"
"According to ERG theory, relatedness focuses on:","Relating existence to growth needs","Maintaining interpersonal relationships","The relationship between higher- and lower-level needs","The relationship between performance and rewards","Maintaining interpersonal relationships"
"According to ERG theory, growth focuses on:","Personal development","Job enrichment","Higher performance appraisals","Increasing motivation","Personal development"
"According to the two factor theory, all of the following are considered motivational factors EXCEPT:","Achievement","Recognition","Responsibility","Variety","Relatedness"
"According to the two factor theory, all of the following are considered hygiene factors EXCEPT:","Salary","Work conditions","Responsibility","Company policies","Responsibility"
"Another term for two-factor theory is:","Motivational-hygiene theory","Expectation-disconfirmation theory","Intrinsic-extrinsic theory","Existence-growth theory","Motivational-hygiene theory"
"According to the two-factor theory,","The factors leading to job satisfaction are distinct from the factors leading to dissatisfaction","There are two specific factors that determine one's satisfaction","There are two specific factors that determine one's dissatisfaction","Hygiene factors contribute to job satisfaction","The factors leading to job satisfaction are distinct from the factors leading to dissatisfaction"
"The three factors of McClelland's theory of needs are:","Achievement, growth, and affiliation","Existence, power, and self-actualization","Achievement, power, and self-actualization","Safety, growth, and affiliation","Achievement, power, and affiliation"
"Of all need theories, ________ has been found to best predict work productivity.","ERG theory","Two-factor theory","Equity theory","Maslow's hierarchy of needs","McClellan's theory of needs"
"According to McClelland's theory of needs, good managers have:","A high need for power and a low need for affiliation","A high need for power and a medium need for affiliation","A high need for power and a high need for affiliation","A low need for power and a high need for affiliation","A high need for power and a low need for affiliation"
"All of the following are process theories of motivation EXCEPT:","Theory X","Equity theory","Expectancy theory","Reinforcement theory","ERG theory"
"________ assumes that people dislike work and are lazy.","Theory W","Theory X","X-Y theory","Theory Y","Theory X"
"Theory X assumes that:","People dislike work, are lazy, and dislike responsibility","People like work but tend not to seek responsibility","People dislike work and are lazy but do like autonomy","People like work, are creative, and seek responsibility","People dislike work, are lazy, and dislike responsibility"
"According to goal-setting theory, to enhance a person's work productivity:","Goals should be specific and difficult with clear feedback","Goals should be specific but not difficult","Telling people to do their best is usually superior to specifying goals","Goals should always be higher than what can be achieved","Goals should be specific and difficult with clear feedback"
"The motivation theory that argues that both positive and negative feedback conditions behavior is called:","Equity theory","Conditioning theory","Reinforcement theory","Two-factor theory","Reinforcement theory"
"Equity theory is:","Very powerful in predicting overall motivation","Most powerful in predicting absenteeism and turnover, not levels of work productivity","Most powerful in predicting work productivity, not levels of absenteeism and turnover","Most powerful in predicting work productivity, absenteeism and turnover","Most powerful in predicting absenteeism and turnover, not levels of work productivity"
"According to expectancy theory, people will be motivated to exert a high level of effort when they believe that:","A good performance appraisal will lead to rewards, and the rewards will satisfy their needs","Effort will lead to a good performance appraisal, a good performance appraisal will lead to rewards, and the rewards will satisfy their needs","Effort will lead to a good performance appraisal, and a good performance appraisal will lead to rewards","Effort will lead to a good performance appraisal, and rewards will satisfy their needs","A good performance appraisal will lead to rewards, and the rewards will satisfy their needs"
"Research on trait theories of leadership has found the following as attributes of successful leaders:","Intelligence and competency in task and organizational activities, maturity and a broad range of interests, and a goal-oriented focus","Intelligence and competency in task and organizational activities, the ability to manage people, and a goal-oriented focus","Intelligence and competency in task and organizational activities, a goal-oriented focus, and flexibility","Intelligence and competency in task and organizational activities, a goal-oriented focus, and relational power","Intelligence and competency in task and organizational activities, maturity and a broad range of interests, and a goal-oriented focus"
"Trait theory of leadership has been shown to be useful for:","Leadership effectiveness development","Identifying how people can become better leaders","Identifying how people can become better managers","Identifying characteristics of leaders","Identifying characteristics of leaders"
"Theories that believe that a person's actions determine his or her potential to be a successful leader are called:","Trait theories","Behavioral theories","Contingency theories","Leadership theories","Behavioral theories"
"All of the following are types of positional power EXCEPT:","Legitimate power","Reward power","Referent power","Coercive power","Referent power"
"Which of the following is a type of personal power?","Ecological power","Reward power","Charismatic power","Legitimate power","Charismatic power"
"Conflict that supports the goals of a team and improves its performance is called ________ conflict.","Healing","Supporting","Functional","Positive","Functional"
"Conflict that hinders group performance and is destructive to team performance is called ________ conflict.","Dysfunctional","Destructive","Detrimental","Negative","Dysfunctional"
"Relationship conflicts:","Will always hinder team performance","Will impact team cohesion, but not performance","Are sometimes good","Do not affect team performance","Will always hinder team performance"
"To achieve a desired level of team conflict, project managers use a set of _________ techniques.","Conflict resolution","Conflict avoidance","Conflict management","Conflict escalation","Conflict management"
"Which technique is NOT among the widely used conflict resolution techniques?","Problem solving","Appointing a devil's advocate","Smoothing","Compromise","Appointing a devil's advocate"
"Which of the following is a technique for stimulating conflict?","Problem solving","Resource limitations","Authoritative command","Avoidance","Appointing a devil's advocate"
"What is NOT a factor contributing to increased outsourcing?","To reduce or control costs","To reduce time to market","To increase revenue potential","To free up internal resources","To support foreign economies"
"The four broad categories of challenges for managing global information systems project teams are:","Technology-related, time zone, skill, and ecological challenges","Technology-related, cultural, human-resource, and environmental challenges","Technology-related, ecological, skill, and labor challenges","Education, skill, time zone, and labor challenges","Technology-related, cultural, human-resource, and environmental challenges"
"A ________ orientation reflects a more competitive culture that values achievement and the acquisition of material goods.","Long-term","Short-term","Individualistic","Quantity of life","Long-term"
"A ________ of life orientation values relationships, interdependence, and concern for others.","Long-term","Short-term","Collectivistic","Quality of life","Quality of life"
"Project risk is an uncertain event or condition that, if it occurs has a ________ effect on a project objective.","positive","negative","devastating","detrimental","positive or negative"
"Before initiation, risk most often occurs in the ________ stage.","project selection","project initiation","project integration","project evaluation","project selection"
"Which of the following is NOT among the types of risk specifically associated with IS projects?","Ongoing changes in technology","Finding and assigning skilled personnel","Gaining user acceptance","Large effects following small changes in scope","Finishing on time and on budget"
"Which of the following is NOT a risk management process as identified by the PMBOK guide?","Plan risk management","Identify risks","Plan risk responses","Mitigate risks","Mitigate risks"
"The systematic approach to planning the risk management activities of a given project is called:","Plan risk management","Identify risks","Plan risk responses","Mitigate risks","Plan risk management"
"Risk management ________ are used to provide organizational standards for project risk management.","matrices","schedules","templates","plans","plans"
"The overall plan used to outline risks and the strategies used to manage them is called:","risk outline.","risk baseline.","risk management plan.","risk response plan.","risk management plan."
"The process of identifying risks to a project and documenting them is called:","identify risks.","manage risks.","assess risks.","document risks.","identify risks."
"The formal record listing all project risks, explaining the nature of the risk, and management of the risk is called:","risk record.","risk list.","risk register.","risk file.","risk register."
"Changing industry standards are an example of:","technical risks.","quality or performance risks.","project management risks.","organizational risks.","quality or performance risks."
"Poor project planning is an example of:","technical risks.","quality or performance risks.","project management risks.","organizational risks.","project management risks."
"Reliance on new, unproven, or unreliable technology is an example of:","technical risks.","quality or performance risks.","project management risks.","organizational risks.","technical risks."
"Inconsistent goals are an example of:","technical risks.","quality or performance risks.","project management risks.","organizational risks.","organizational risks."
"Legal events are an example of:","technical risks.","quality or performance risks.","project management risks.","organizational risks.","external risks."
"The review of organizational information to aid during risk identification is called:","risk review.","document analysis.","risk identification audit.","project file review.","document analysis."
"Which of the following NOT among the techniques commonly used during risk identification?","Brainstorming.","SWOT analysis.","Interviews.","Checklists.","Stakeholder analysis."
"Data analysis tools commonly used during risk identification include all EXCEPT:","Root cause analysis.","Assumption and constraint analysis.","SWOT analysis.","Value chain analysis.","Value chain analysis."
"Events that serve as early warnings of risk are called:","warnings.","risk advisories.","triggers.","actuators.","triggers."
"________ is the evaluation of the potential impact and likelihood of specific risk occurrence.","Perform quantitative risk analysis","Perform qualitative risk analysis","Probability/impact risk rating matrix","Impact/likelihood risk rating matrix","Perform qualitative risk analysis"
"Risk ________ is concerned with the likelihood that a certain risk will occur.","likelihood","impact","probability","strength","probability"
"Risk ________ is concerned with the consequences of the occurrence of a certain risk.","likelihood","impact","probability","strength","impact"
"________ is a technique used to analyze project risk in terms of its probability of occurrence and its impact on project outcomes.","Perform quantitative risk analysis","Perform qualitative risk analysis","Probability/impact risk rating matrix","Impact/likelihood risk rating matrix","Probability/impact risk rating matrix"
"the assessment of the quality of the data used to assess risk is called:","risk data quality assessment.","project assumption testing.","risk assessment data testing.","risk data precision estimation.","project assumption testing."
"A technique used during qualitative risk analysis to test the assumptions made during risk identification is called:","risk assumption testing.","risk quality assessment.","project quality testing.","project assumption testing.","project assumption testing."
"________ is the analysis of the probability of occurrence and the impact of risk on project objectives using numerical techniques.","Perform quantitative risk analysis","Perform qualitative risk analysis","Probability/impact risk rating matrix","Impact/likelihood risk rating matrix","Perform quantitative risk analysis"
"Which of the following is NOT a decision technique used during quantitative risk analysis?","Risk quantification in terms of additional scheduling and cost needs","Identifying the most salient risk in terms of the project","Setting realistic targets in terms of scope, cost, and schedule","Assessing the likelihood of realizing a specific project objective","Identifying the most problematic project requirements in terms of scope"
"Tornado analysis is a form of:","sensitivity analysis.","simulation.","EMV analysis.","graphical analysis.","sensitivity analysis."
"________ is a technique to examine the potential impact of specific risks to a project.","Sensitivity analysis","Decision tree analysis","Impact analysis","Risk analysis","Sensitivity analysis"
"________ is a statistical technique that captures the average value of potential projects by analyzing the likelihood of possible project outcomes as well as each outcome's financial consequences.","Simulation","EMV analysis","Tornado analysis","Decision tree analysis","Simulation"
"________ is a diagramming technique used to evaluate courses of action in terms of their potential cost and benefits relative to other courses of action.","Simulation","EMV analysis","Tornado analysis","Decision tree analysis","EMV analysis"
"________ is a technique used to perform what-if analyses to determine the impact of a given situation on a project objective.","Simulation","EMV analysis","Tornado analysis","Decision tree analysis","EMV analysis"
"The most well-known simulation technique is called:","Monaco analysis.","Monte Carlo analysis.","Venetian analysis.","Bellagio analysis.","Monte Carlo analysis."
"The process of developing methods for responding to project risks is called:","Plan risk mitigation.","Plan risk management.","Plan risk responses.","Plan risk reactions.","Plan risk responses."
"Project team members responsible for specific risk activity decisions are called:","risk owners.","risk managers.","risk holders.","risk deciders.","risk owners."
"________ is a risk response strategy designed to avoid potential project risks.","Risk mitigation","Risk transference","Risk acceptance","Risk avoidance","Risk avoidance"
"________ is a risk response strategy designed to transfer risk to another party, often through the use of contracts.","Risk mitigation","Risk transference","Risk related contractual agreements","Risk removal","Risk transference"
"________ is a risk response strategy in which steps are taken to mitigate risks.","Risk mitigation","Risk minimization","Risk reduction","Risk avoidance","Risk mitigation"
"________ is a risk response strategy in which risks are simply accepted and contingency strategies are planned.","Risk adoption","Risk response","Risk contingency planning.","Risk acceptance","Risk acceptance"
"________ is a risk response strategy that involves assigning the response to a higher organizational level if the threat is beyond the authority of the project manager.","Risk adoption","Risk response","Risk contingency planning.","Risk acceptance","Risk escalation"
"A ________ is a documented plan for risk response.","risk document","risk register","risk response plan","risk response register","risk response plan"
"All of the following are elements of a risk response plan EXCEPT:","the roles and responsibilities of any risk owners.","a list of actions to be used to implement the risk response strategies.","budget and schedule information in terms of risk response.","the roles and responsibilities of project stakeholders.","the roles and responsibilities of project stakeholders."
"Reports about the project and its progress should be written, rather than oral, and regular, rather than ad-hoc.","True","False","","","True"
"Overestimating savings from new tools or methods is a ________ system development mistake.","a process-related","a people-related","a product-related","a technology-related","a technology-related"
"Changes to an application typically cost 50 to 200 times less if they are made during requirements determination rather than during the physical design process.","True","False","","","True"
"Approved preventive actions are documented and authorized guidelines necessary to bring future performance into conformance with the project management plan.","True","False","","","False"
"________ measures project performance over time, and provides a way to forecast future performance based on past performance.","Variance analysis","Schedule analysis","Project performance analysis","Earned value management","Earned value management"
"Perhaps the most important levers for controlling projects is:","communication.","participation.","analysis and action.","team members’ commitment.","analysis and action."
"One common determinant for the most appropriate project control philosophy is project size.","True","False","","","True"
"A change control system is a documented process that describes the procedures by which:","the project and product scope can be changed.","changes are controlled.","system changes are managed.","the project scope can be changed.","changes are controlled."
"The technological context in which companies are operating is relatively stable.","True","False","","","False"
"The project manager is the most instrumental person to the successful completion of a project.","True","False","","","True"
"On large projects, the project manager and project leader should always be the same person.","True","False","","","False"
"All of the following are examples of enterprise environmental factors, EXCEPT:","organizational culture.","rules and regulations.","organizational structure.","project management office","project management office"
"Behavioral theories of leadership believe that personality, appearance, or competency differentiate leaders from non-leaders.","True","False","","","False"
"Written communications usually has the form of hardcopies.","True","False","","","False"
"Effective communication is:","only done for the higher echelons.","not needed.","fundamental for project success.","detailed and time consuming.","fundamental for project success."
"________ is the degree to which key stakeholders within the organization can affect project success.","Stakeholder feasibility","Political feasibility","Legal feasibility","Feasibility","Political feasibility"
"Competitive necessity is an example of:","tangible costs.","intangible costs.","tangible benefits.","intangible benefits.","intangible benefits."
"Another term for a product breakdown structure is:","parts list.","bill of materials.","bill of rights.","parts order.","bill of materials."
"Project schedules may be created for different purposes and may have different level of detail.","True","False","","","True"
"The estimation of activities’ durations by averaging optimistic, pessimistic, and most likely estimates is called:","duration averaging.","OPL-method.","parametric estimating.","likelihood procedure.","three-point estimates."
"Which quality management pioneer is best known for the 80/20 rule?","Joseph Juran","David Pareto","Kaoru Ishikawa","W. Edwards Deming","David Pareto"
"Another term for independent estimates is:","price estimates.","should-cost estimates.","external estimates.","pre-contract estimates.","should-cost estimates."
"Plan procurement management is part of the ________ process group.","initiation","planning","executing","monitoring and controlling","planning"
"Which of the following is normally not one of the traditional components of the triple constraint?","Within time","Within cost","Within performance (Scope, technology or quality)","Accepted by the customer","Accepted by the customer"
"Which of the following is a potential benefit of using project management?","Maximization of continuous reporting","No need for identification of functional responsibilities","Identification of time limits for scheduling","No need for a project management methodology","Identification of time limits for scheduling"
"Which of the following functions of classical management is generally not performed by the project manager?","Planning","Organizing","Staffing","Controlling","Staffing"
"Which of the following is not an organizational stakeholder?","Customers","Executive officers","Unions","Employees","Customers"
"Which of the following is directly controlled by the project manager?","Money","Manpower","Information / technology","None of the above","None of the above"
"The project manager’s role with regard to interface management does not include interfacing:","Within the project team","Between senior management and various external stakeholders","Between the project team and functional organizations","Between the project team and senior management","Between senior management and various external stakeholders"
"When team members take direction from both the project and line managers, the type of project manager is usually:","Lightweight team leader","Heavyweight team leader","Tiger team leader","Leopard team leader","Heavyweight team leader"
"Which of the following promises can project managers make to functional employees assigned to a project?","Promotions","Overtime","Future work assignments","None of the above","None of the above"
"In which life cycle phase do project sponsors become most actively involved in the project?","Initiation","Execution","Monitor and control","Closure","Initiation"
"Which of the following most likely represents a project champion rather than a project manager?","Manages people","Willing to take risks","Seeks perfection","Prefers to work in groups","Seeks perfection"
"Which of the following techniques led to the acceptance of project management principles?","Over-the-fence management","Total quality management","Six Sigma","The need for better management of smaller projects","Over-the-fence management"
"During the 1970s and 1980s, formal project management practices were put in place because the constraints were _____ and _____ boundaries had to be crossed.","Loose; several","Loose; few","Tight; several","Tight; few","Tight; several"
"Project management restructuring allowed companies to manage projects that _____.","Could not be handled by the traditional organization","Had undefined objectives","Did not require effective cost control","Require little functional integration","Could not be handled by the traditional organization"
"Uncontrolled obstacles can result in:","Increased profits","Reduction in manpower","An inability to cope with changes in technology","Easier establishment of objectives","An inability to cope with changes in technology"
"According to the text, which of the following is not a life cycle phase for project management maturity?","Embryonic Phase","Planning Phase","Growth Phase","Maturity Phase","Planning Phase"
"If a company advertises on television that they consider themselves as a solution provider to satisfy your business needs, then their driving force was most likely:","Customer expectations","Competitiveness","Efficiency and effectiveness","Executive understanding","Customer expectations"
"Most people seem to believe that the most common driving force for maturity in project management is:","Survival","Executive understanding","New Product development","Customer expectations","Survival"
"Which of the following is not a present view of project management?","Accomplishing more work in less time and with fewer people","A reduction in power and authority struggles","Improvements in quality","Providing good products rather than business solutions","Providing good products rather than business solutions"
"Companies can become reasonably mature in project management by designing the right support systems. In general, how much time usually elapses after maturity before a company becomes excellent in project management execution?","1 year","2 years","5 years","10 years","5 years"
"Which of the following is generally not one of the five processes integrated into an enterprise project management methodology?","Manpower staffing","Total quality management","Scope change management","Risk management","Manpower staffing"
"Bidder conferences are used to:","Answer questions about the project prior to submittal of proposals","Answer questions about the project after contract award","Debrief the bidder on their performance after completion of the contract","Solicit pricing information from the bidders on proposed scope changes","Answer questions about the project prior to submittal of proposals"
"During contract negotiations, the goal of the seller is to:","Get the buyer to accept the greatest amount of risk","Get the largest possible profit margin regardless of the risk","Get the largest possible price for the contract","Negotiate a contract where the profit margin is commensurate with the risk the contractor is expected to incur","Negotiate a contract where the profit margin is commensurate with the risk the contractor is expected to incur"
"Which of the following contract types has the greatest risk with the buyer?","Cost sharing","Cost-Plus-Incentive-Fee","Firm-Fixed-Price","Fixed-Price-Incentive-Fee","Cost-Plus-Incentive-Fee"
"The cost of renting a piece of equipment is $200 per day and the leasing cost is $5000 plus $100 per day. The breakeven cost between renting and leasing occurs at _____ days.","30","50","100","200","50"
"Which of the following is part of the responsibility of a contract administrator?","Inspections and audits","Performance reporting (Documenting seller’s performance)","Approval of waivers","All of the above","All of the above"
"Which type of cost-plus contract provides the seller with a guaranteed dollar-value profit rather than as a percentage?","Cost-sharing","Cost-plus-award-fee","Cost-plus-fixed-fee","Cost-plus-incentive-fee","Cost-plus-fixed-fee"
"A covenant providing restrictions on certain proprietary knowledge is called a:","Non compete clause","Non disclosure clause","Non conformance clause","Penalty clause","Non disclosure clause"
"In which of the following would the price of a possible contract not be included?","Request for information (RFI)","Request for quotation (RFQ)","Request for proposal (RFP)","Invitation for bids (IF","Request for information (RFI)"
"Failure to exercise one’s activity in such a manner that a reasonable person would do in a similar situation is:","Negligence","Liquidated damages","Breach of contract","Privity of contract","Negligence"
"Billing the cost of repairs against a financially closed out project is called _____.","Back charging","Refinancing","Order of precedence","Arbitration","Back charging"
"Generally speaking, the lowest level in the WBS is referred to as:","Level 3","Level 4","Level 5","The work package","The work package"
"Scope creep is generally the result of:","Having too many levels in the WBS","Poorly defined SOW","Too much detail in the specifications","Having the wrong people assigned to the project","Poorly defined SOW"
"Which of the following is not a benefit of having a highly detailed work breakdown structure?","Lower status reporting costs","Less likely that anything will be omitted","Better estimating","Better activity tracking","Lower status reporting costs"
"Which of the following documents is not defined in the text as one of the four critical documents for preliminary planning?","SOW","WBS","Specifications","Network Diagrams","Network Diagrams"
"Which of the following is often overlooked when planning and budgeting a project?","Customer’s milestones","Cost and size of contractual documentation","Number of meetings with the customer","Timing of the deliverables","Cost and size of contractual documentation"
"A customer external to your company requests that a certain element of work be subdivided to lower level work packages and that cost/schedule information be reported at the lower levels. You should:","Grant the customer’s request but bill the customer for the changes to the WBS.","Simply grant the customer’s request.","Deny the request since the WBS is finalized and cannot change.","Check with the line managers first to see if cost and schedule can be reported at this level.","Check with the line managers first to see if cost and schedule can be reported at this level."
"During the execution of a project, the customer asks you to perform additional tests which the customer will pay for. Unfortunately, there are no resources available to perform the additional tests. The project manager should:","Refuse to perform the tests.","Determine when the tests can be done and then inform the customer","Tell the customer that company policy is that the additional tests must be treated as an enhancement project and funded separately after this project is over.","Let the sponsor make the decision on what to do.","Let the sponsor make the decision on what to do."
"The person with the ultimate responsibility to make sure that all work required by the SOW and only the work required by the SOW is performed is the:","Customer","Project manager","Appropriate subject matter expert for that work package","Project sponsor","Project manager"
"Which of the following is usually preferred for the placement of the project manager with regard to the WBS? The project manager’s salary should be:","Divided up at each work package.","Divided up at each WBS element not lower than level 3 of the WBS.","Divided up at each level 2 WBS element.","There should be only one WBS element covering the project manager’s salary.","There should be only one WBS element covering the project manager’s salary."
"Plans such as the cost plan, schedule plan and quality plan are referred to as:","Integration plans","Specialized plans","Functional plans","Subsidiary plans","Subsidiary plans"
"Which of the following scheduling techniques is most appropriate today for managing a project?","BAR charts","Milestone charts","PERT charts","Precedence charts","Precedence charts"
"Which of the following network diagramming methods do not use dummy activities?","PERT","GERT","ADM","PDM","PDM"
"Which of the following cannot be determined after performing a forward pass and a backward pass on a network diagram?","The critical path","The end date of the project","The effort in each activity","The slack in each activity","The effort in each activity"
"Activities with zero time durations are called:","Low-slack activities","No-slack activities","Dummy activities","Special activities","Dummy activities"
"Negative slack is the result of:","The forward pass going beyond the customer’s end date and the backward pass is measured from the customer’s end date","Non-critical-path activity using up all of their slack","The critical path can be completed before the customer’s desired end date","All of the above","The forward pass going beyond the customer’s end date and the backward pass is measured from the customer’s end date"
"If the optimistic time for an activity is 6 weeks, the pessimistic time is 24 weeks and the most likely time is 12 weeks, then the expected duration is:","7 weeks","13 weeks","22 weeks","24 weeks","13 weeks"
"Laying out a network diagram when you know before-hand the size of the available resource pool is called:","Resource leveling","Resource allocation or resource limited planning","Better effort planning","Slack utilization planning","Resource allocation or resource limited planning"
"Which of the following schedule compression techniques usually requires adding more resources to each work package that is being compressed?","Overtime","Outsourcing","Crashing","Descoping","Crashing"
"An activity in a network has the following characteristics: ES = 5, EF = 9 and LF = 12. LS = _____.","5","8","9","12","8"
"Which of the following is normally not one of the three critical parameters provided in information reporting to the customer?","Time","Cost","Performance","Risks","Risks"
"There are four activities on the critical path, and they have standard deviations of 1, 2, 4, and 2. What is the probability that the project will be completed in 38 weeks if its expected completion time is 40 weeks?","0.26","0.35","0.58","0.76","0.35"
"What are the maximum number of inputs and outputs that can exist in a node in the precedence diagramming method?","3 each","5 each","10 each","It is unlimited","It is unlimited"
"PERT network reflect what type of precedence diagram?","Start-to-start","Start-to-finish","Finish-to-start","Finish-to-finish","Finish-to-start"
"An activity in a network has the following characteristics: ES = 10, EF = 18 and LS = 12. The duration of the activity is:","6","8","10","Cannot be determined","8"
"Smoothing out project resources from period to period is called:","Resource leveling","Resource allocation or resource limited planning","Better effort planning","Slack utilization planning","Resource leveling"
"Which of the following is an activity-on-node network diagramming method?","PERT","GERT","ADM","PDM","PDM"
"The expected completion time of a project is 40 weeks and the variance of its critical path activities is 9. What is the project completion time with a 75% certainty?","47 weeks","42 weeks","38 weeks","34 weeks","42 weeks"
"Consider this information about an activity: ES = 12, EF = 18, LS = 14, LF = 20. What is the amount of slack associated with this activity?","0","6","2","4","2"
"Which type of chart provides the least “predictive” value?","Bar chart","PERT","ADM","PDM","Bar chart"
"Which of the following is not one of the four network diagramming techniques?","PERT","GERT","VERT","PDM","VERT"
"Which of the following is a cost estimating relationship?","Mathematical equations based upon regression analysis","Cost-quantity relationships","Cost-Cost relationships","All of the above","All of the above"
"Which of the following standard project estimating techniques is usually accomplished in weeks?","Parametric","Analogy","Engineering","Grassroots","Analogy"
"Which of the following projects would most likely have reasonably good estimating techniques?","Construction","R & D","Software development","New product development","Construction"
"An employee earning $40/hour works in a department where the overhead is 125%. A billable or charge back hour to this department would be:","$ 40","$ 50","$ 90","$ 100","$ 90"
"If a worker earns $50 per hour in salary but the project is charged $75 per hour for each hour the individual works, then the overhead rate is:","5%","50%","100%","150%","50%"
"Which of the following is an estimating pitfall?","Misinterpretation of the statement of work","Inaccurate work breakdown structure","Failure to use correct estimating techniques.","All of the above","All of the above"
"Which of the following components of life cycle costing incurs the largest cost?","R & D","Production","Operational and Support","Disposal","Operational and Support"
"Which of the following is generally not part of capital budgeting?","Life cycle cost estimating","Net present value","Internal rate of return","Discounted cash flow","Life cycle cost estimating"
"An investment of $1000 today invested at 10% for two years will give a future value of:","909","1000","1100","1210","1210"
"Risks commonly considered to understand project financing are:","Scope risks","Organizational risks","Investment risks","Technical risks","Organizational risks"
"The EVMS term that represents the value of work actually accomplished is:","PV","EV","AC","BAC","EV"
"If PV = $100, EV = $200 and AC = $300, the status is:","Over budget and behind schedule","Over budget and ahead of schedule","Under budget and behind schedule","Under budget and ahead of schedule","Over budget and ahead of schedule"
"Consider the following: BAC = $1000, VAC = $200, and AC = $400. Therefore EV = _____.","$ 480","$ 600","$ 800","Cannot be determined","$ 480"
"The best source of revenue for a customer-requested scope change is:","A customer-funded contract amendment","Management reserve","Undistributed budget","Profits","A customer-funded contract amendment"
"A common cause for a favorable SV but unfavorable CV might be:","Using lower salaried workers","Using overtime","Using less expensive raw materials","All of the above","Using overtime"
"An S-Curve plots:","Schedule variance as a function of time","Work package schedules as a function of time","Cumulative cost as a function of time","None of the above","Cumulative cost as a function of time"
"Earned value measurement systems must be capable of:","Measuring resources consumed","Measuring status and accomplishment","Provide a basis for diagnosis and replanning","All of the above","All of the above"
"At project initiation:","Few cost reduction opportunities exist and the cost of each change is large","Few cost reduction opportunities exist and the cost of each change is low","Many cost reduction opportunities exist and the cost of each change is high","Many cost reduction opportunities exist and the cost of each change is low","Many cost reduction opportunities exist and the cost of each change is low"
"The establishment of all of the charge numbers for a project is called the:","Work package codes","Code of accounts","Summation of charge numbers","Cost accounts","Code of accounts"
"In which type of project report would we most likely find EAC and ETC?","Performance","Status","Forecast","Exception","Forecast"
"Customers are now demanding:","Higher performance requirements","Higher contractor profit margins","Slower product development","All of the above","Higher performance requirements"
"Quality is defined by the:","Project manager","Project team","Project sponsor","Customer","Customer"
"In which project life cycle phase does quality begin?","Initiation / planning","Execution","Monitoring & control","Closure","Initiation / planning"
"The plan-do-check-act cycle is attributed to:","Juran","Deming","Crosby","Taguchi","Deming"
"A document that states the principles of quality would be a quality _____.","Policy","Procedure","Plan","All of the above","Policy"
"The collective term for the formal quality activities and processes is called:","Quality control","Quality assurance","Quality policies","Quality visions","Quality assurance"
"Which of the following is not one of the four categories of the cost of quality?","Prevention","Internal failures","External failures","Identification","Identification"
"The cause and effect chart is used to _____.","Identify a problem","Determine its cause","Prioritize a solution","Decide upon a course of action","Determine its cause"
"If the upper and lower control limits of a process are set at plus or minus three sigma, then what percent of the units produced are expected to satisfy the customer’s requirements?","68%","95%","99.73%","Impossible to determine","99.73%"
"The fact that random variation is always present in any process is called:","Common cause variability","Special cause variability","Assignable cause variability","Control limit variability","Common cause variability"
"If there’s a 40% chance of making $1 million and a 60% chance of losing $600,000, then the expected monetary outcome is:","-$400,000","-$40,000","$360,000","-$360,000","-$40,000"
"The process that identifies, evaluates, selects and implements one or more strategies to set risk at an acceptable level is:","Risk planning","Risk assessment","Risk handling","Risk monitoring and control","Risk handling"
"An objective source for risk identification is:","Lessons learned files","Program documentation evaluations","Current performance data","All of the above","All of the above"
"The probability-impact matrix is a technique used as part of:","Risk identification","Risk assessment","Risk monitoring and control","Risk handling","Risk assessment"
"In which life cycle phase does the project manager have the greatest financial risk? (i.e. amount at state)","Initiation / Approval","Planning","Execution","Closure","Closure"
"A technique that uses a series of probability distributions and then transforms them into various risks is called:","Probability estimating","Monte Carlo simulation","Estimating simulation","Black box analysis","Monte Carlo simulation"
"Which risk handling mode is a project manager using if he / she throws out one of three designs for a new product?","Acceptance / Assumption","Avoidance","Control / mitigation","Transfer","Avoidance"
"If a project manager believes in a proactive rather than reactive risk management approach, he / she is using:","Acceptance / Assumption","Avoidance","Control / mitigation","Transfer","Control / mitigation"
"The two primary components of a risk are:","The event and the probability","The probability and the impact","The impact and the event","The impact and the amount at stake","The probability and the impact"
"Risk constitutes a lack of knowledge _____.","Of future events","About the environment","About the estimates","About the customer’s requirements","Of future events"
